label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,fort dodge,IA,-94.166587,42.438596,31,14,10,52,girl,9,m4m,7,fun,6,bi,5,friend,5
city,prescott,WA,-118.455541,46.354972,0,38,0,0,new,6,woman,4,guy,3,someone,3,buddy,2
city,laredo,TX,-99.505138,27.732094,28,32,19,32,m4m,13,woman,7,relationship,5,cock,4,friends,4
city,charlotte,TX,-98.655756,28.814293,2601,1172,342,123,m4m,680,guy,214,fun,196,seeking,195,need,170
city,boston,IN,-84.848442,39.757864,1167,346,60,34,m4m,298,guy,139,fun,82,top,79,suck,74
city,worcester,PA,-75.357555,40.192881,289,240,69,21,m4m,80,guy,41,fun,38,woman,35,seeking,33
city,reno,NV,-119.586934,40.541218,540,379,41,0,m4m,122,top,67,fun,54,bottom,51,seeking,44
city,tuscaloosa,AL,-87.585902,33.307222,56,51,24,50,need,14,friend,13,m4m,11,seeking,11,white,9
city,dallas,OR,-123.337291,44.928092,9108,3178,745,399,m4m,2060,top,912,bottom,785,guy,701,fun,664
city,parkersburg,IL,-88.011149,38.587985,37,0,0,0,fun,5,m4m,5,something,3,bottom,2,buddy,2
city,san diego,CA,-117.191848,32.751575,637,322,37,0,m4m,158,guy,67,top,65,bottom,55,fun,52
city,mcallen,TX,-98.224206,26.409709,267,224,80,40,m4m,60,top,28,busco,26,fun,23,guy,22
city,santa maria,CA,-120.495723,34.953532,37,38,0,39,m4m,10,girl,8,good,6,need,5,new,5
city,"monroe, LA",LA,-92.159354,32.490777,0,39,0,39,friend,7,girl,5,m4w,5,need,5,fun,4
city,fort smith,AR,-94.23816,35.191046,43,104,29,31,fun,10,ltr,10,m4m,10,m4w,10,lady,9
city,peoria,AZ,-112.187170,33.276539,39,77,40,40,fun,10,seeking,10,new,9,bbw,8,fwb,7
city,"dothan, AL",AL,-85.4828,31.219697,30,71,25,59,fun,13,seeking,11,m4m,9,w4w,9,love,8
city,grand island,NE,-98.521343,40.872531,15,31,18,74,friend,11,woman,10,girl,9,seeking,7,more,6
city,jersey shore,PA,-77.025687,41.208518,483,229,38,19,m4m,157,seeking,53,bottom,44,fun,44,top,43
city,dayton,WA,-117.949530,46.392683,318,391,101,36,m4m,71,woman,47,fun,34,seeking,34,guy,32
city,omaha,TX,-94.739141,33.179537,309,467,79,40,m4m,82,guy,36,seeking,35,woman,35,need,33
city,gadsden,AZ,-114.774342,32.530155,33,51,15,11,m4m,11,seeking,10,fun,7,ltr,6,m4w,5
city,mobile,AL,-88.226989,30.666959,77,154,40,0,m4m,26,bottom,15,seeking,14,guy,12,woman,12
city,hanford,CA,-119.894727,36.138861,25,17,6,57,friend,8,new,6,curious,5,girl,5,m4m,5
city,wichita,KS,-97.480419,37.693588,117,314,67,59,m4m,36,girl,30,seeking,27,m4w,24,man,22
city,"lancaster, PA",PA,-76.297582,40.0185,83,150,37,8,m4m,24,man,15,seeking,14,something,13,fun,12
city,los angeles,CA,-118.298662,33.786594,3546,1027,180,109,m4m,903,top,390,guy,338,bottom,289,cock,241
city,eastern WV,KY,-82.818388,37.512564,193,138,6,19,m4m,8,guy,5,woman,5,fun,4,friend,3
city,moses lake,WA,-119.298979,47.180684,0,0,0,39,friends,6,seeking,6,bbw,4,fwb,4,fun,3
city,"jackson, MI",MI,-84.213755,42.252847,34,55,10,70,seeking,17,fun,11,woman,10,girl,9,new,8
city,bellingham,WA,-121.988548,48.814753,28,115,38,20,girl,15,seeking,13,guy,11,fun,9,love,7
city,"jacksonville, FL",FL,,,1171,659,133,102,m4m,302,fun,106,guy,89,bottom,88,seeking,83
city,"jackson, MS",MS,-89.992257,32.319905,102,160,41,54,m4m,20,real,18,white,18,woman,17,man,15
city,maine,NY,-76.046399,42.253754,534,500,81,0,m4m,165,fun,61,seeking,60,guy,50,want,50
city,cookeville,TN,-85.469451,36.182723,15,41,19,18,love,6,woman,6,friend,5,girl,5,m4w,5
city,lansing,KS,-94.883026,39.233204,94,139,57,66,m4m,31,girl,21,seeking,19,need,18,fun,17
city,southwest VA,PA,-79.439801,40.360223,13,16,24,20,friend,8,fun,7,love,7,man,6,lady,5
city,boulder,UT,-111.308206,37.844777,106,158,29,15,m4m,25,guy,23,fun,17,seeking,17,girl,14
city,"brunswick, GA",GA,-81.530477,31.280403,32,32,24,40,m4m,10,lady,8,w4w,7,man,6,need,6
city,"columbus, GA",GA,-84.874123,32.491005,58,131,73,22,soldier,18,m4m,17,man,17,seeking,14,woman,13
city,western MD,NE,-97.265045,40.403717,21,46,6,37,m4m,7,seeking,7,woman,6,wanted,5,friendship,4
city,lexington,OR,-119.638037,45.493821,296,347,79,32,m4m,67,seeking,45,guy,40,fun,38,ltr,28
city,terre haute,IN,-87.410094,39.433602,25,36,37,56,good,10,m4m,10,w4w,9,man,8,real,8
city,kirksville,MO,-92.609514,40.165717,3,8,4,61,girl,9,w4w,6,friend,5,fun,5,friends,4
